Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
183 , 189519239,  189524531,  5292 , 1748427 
184 , 190411425,  190416730,  5305 , 1784385 
185 , 191284568,  191289886,  5318 , 1746299 
186 , 192175801,  192181130,  5329 , 1782477 
187 , 193047888,  193053230,  5342 , 1744187 
188 , 193938173,  193943525,  5352 , 1780580 
189 , 194809271,  194814636,  5365 , 1742209 
190 , 195698610,  195703987,  5377 , 1778690 
191 , 196568730,  196574119,  5389 , 1740252 
192 , 197457144,  197462547,  5403 , 1776842 
193 , 198326308,  198331722,  5414 , 1738339 
194 , 199213855,  199219280,  5425 , 1775105 
195 , 200082048,  200087486,  5438 , 1736399 
196 , 200968727,  200974178,  5451 , 1773371 
197 , 201835963,  201841425,  5462 , 1734483 
198 , 202721805,  202727280,  5475 , 1771697 
199 , 203588085,  203593573,  5488 , 1732573 
200 , 204473103,  204478603,  5500 , 1770048 
201 , 1883567,  1886685,  3118 , 8184753138 
202 , 3810471,  3813602,  3131 , 3853821 
203 , 5573777,  5576919,  3142 , 3526623 
204 , 7234335,  7237490,  3155 , 3321129 
205 , 8835995,  8839161,  3166 , 3203331 
206 , 10375208,  10378386,  3178 , 3078438 
207 , 11881640,  11884830,  3190 , 3012876 
208 , 13341676,  13344879,  3203 , 2920085 
209 , 14781115,  14784329,  3214 , 2878889 
210 , 16183217,  16186442,  3225 , 2804215 
211 , 17571808,  17575046,  3238 , 2777195 
212 , 18928129,  18931380,  3251 , 2712655 
213 , 20275802,  20279065,  3263 , 2695358 
214 , 21594821,  21598094,  3273 , 2638048 
215 , 22908740,  22912027,  3287 , 2627852 
216 , 24196032,  24199330,  3298 , 2574595 
217 , 25480892,  25484200,  3308 , 2569730 
218 , 26741243,  26744565,  3322 , 2520716 
219 , 28000836,  28004169,  3333 , 2519197 
220 , 29237516,  29240862,  3346 , 2473373 
221 , 30474797,  30478155,  3358 , 2474574 
222 , 31690393,  31693762,  3369 , 2431203 
223 , 32907778,  32911159,  3381 , 2434782 
224 , 34104444,  34107837,  3393 , 2393344 
225 , 35304110,  35307517,  3407 , 2399346 
226 , 36483717,  36487135,  3418 , 2359225 
227 , 37667336,  37670767,  3431 , 2367251 
228 , 38831443,  38834885,  3442 , 2328225 
229 , 40000408,  40003863,  3455 , 2337943 
230 , 41150376,  41153842,  3466 , 2299947 
231 , 42305882,  42309359,  3477 , 2311023 
232 , 43443020,  43446510,  3490 , 2274289 
