Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  701 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1516370,  1519495,  3125 
296 , 278658261,  278666059,  7798 , 1690386 
297 , 279479242,  279487056,  7814 , 1641978 
298 , 280324171,  280332003,  7832 , 1689876 
299 , 281144803,  281152651,  7848 , 1641280 
300 , 281989463,  281997325,  7862 , 1689334 
301 , 282809659,  282817538,  7879 , 1640409 
302 , 283654030,  283661927,  7897 , 1688760 
303 , 284473869,  284481783,  7914 , 1639695 
304 , 285317907,  285325837,  7930 , 1688092 
305 , 286137425,  286145372,  7947 , 1639053 
306 , 286981172,  286989137,  7965 , 1687512 
307 , 287800351,  287808331,  7980 , 1638373 
308 , 288643850,  288651848,  7998 , 1687016 
309 , 289462627,  289470641,  8014 , 1637570 
310 , 290305831,  290313865,  8034 , 1686428 
311 , 291124242,  291132292,  8050 , 1636838 
312 , 291967216,  291975283,  8067 , 1685965 
313 , 292785250,  292793335,  8085 , 1636086 
314 , 293627960,  293636062,  8102 , 1685437 
315 , 294445620,  294453742,  8122 , 1635340 
316 , 295288123,  295296259,  8136 , 1685020 
317 , 296105446,  296113600,  8154 , 1634664 
318 , 296947685,  296955856,  8171 , 1684495 
319 , 297764663,  297772851,  8188 , 1633973 
320 , 298606637,  298614843,  8206 , 1683966 
321 , 299423284,  299431507,  8223 , 1633311 
322 , 300265012,  300273253,  8241 , 1683474 
323 , 301081346,  301089604,  8258 , 1632685 
324 , 301922846,  301931120,  8274 , 1683016 
325 , 302738862,  302747153,  8291 , 1632049 
326 , 303580136,  303588444,  8308 , 1682565 
327 , 304395811,  304404136,  8325 , 1631367 
328 , 305236879,  305245222,  8343 , 1682154 
329 , 306052208,  306060569,  8361 , 1630676 
330 , 306893091,  306901469,  8378 , 1681783 
331 , 307708109,  307716505,  8396 , 1630054 
332 , 308548798,  308557210,  8412 , 1681394 
333 , 309363520,  309371949,  8429 , 1629461 
334 , 310203968,  310212413,  8445 , 1680912 
335 , 311018381,  311026844,  8463 , 1628844 
336 , 311858614,  311867095,  8481 , 1680484 
337 , 312672704,  312681200,  8496 , 1628195 
338 , 313512761,  313521275,  8514 , 1680132 
339 , 314326533,  314335065,  8532 , 1627562 
340 , 315166384,  315174932,  8548 , 1679718 
341 , 315979830,  315988396,  8566 , 1626910 
342 , 316819490,  316828073,  8583 , 1679337 
343 , 317632631,  317641232,  8601 , 1626300 
344 , 318472124,  318480742,  8618 , 1679003 
345 , 319284970,  319293608,  8638 , 1625712 
346 , 320124272,  320132926,  8654 , 1678620 
347 , 320936833,  320945503,  8670 , 1625138 
348 , 321775896,  321784584,  8688 , 1678144 
349 , 322588176,  322596881,  8705 , 1624577 
350 , 323427050,  323435773,  8723 , 1677766 
351 , 324239037,  324247778,  8741 , 1623992 
352 , 325077733,  325086489,  8756 , 1677407 
353 , 325889418,  325898192,  8774 , 1623388 
354 , 326727964,  326736755,  8791 , 1677109 
355 , 327539352,  327548162,  8810 , 1622795 
356 , 328377715,  328386542,  8827 , 1676743 
357 , 329188837,  329197681,  8844 , 1622261 
358 , 330027001,  330035863,  8862 , 1676346 
359 , 330837859,  330846740,  8881 , 1621735 
360 , 331675853,  331684751,  8898 , 1676005 
361 , 332486413,  332495328,  8915 , 1621137 
362 , 333324232,  333333163,  8931 , 1675654 
363 , 334134486,  334143436,  8950 , 1620527 
364 , 334972151,  334981119,  8968 , 1675348 
365 , 335782111,  335791097,  8986 , 1619938 
366 , 336619647,  336628649,  9002 , 1675088 
367 , 337429384,  337438404,  9020 , 1619492 
368 , 338266701,  338275738,  9037 , 1674651 
369 , 339076201,  339085256,  9055 , 1619018 
370 , 339913314,  339922387,  9073 , 1674244 
371 , 340722553,  340731643,  9090 , 1618495 
372 , 341559526,  341568631,  9105 , 1673961 
373 , 342368486,  342377610,  9124 , 1617939 
374 , 343205308,  343214451,  9143 , 1673663 
375 , 344014009,  344023169,  9160 , 1617419 
376 , 344850688,  344859866,  9178 , 1673376 
377 , 345659127,  345668323,  9196 , 1616896 
378 , 346495641,  346504854,  9213 , 1673045 
379 , 347303826,  347313057,  9231 , 1616388 
380 , 348140203,  348149452,  9249 , 1672772 
381 , 348948138,  348957404,  9266 , 1615887 
382 , 349784380,  349793664,  9284 , 1672502 
383 , 350592054,  350601356,  9302 , 1615366 
384 , 351428137,  351437458,  9321 , 1672185 
385 , 352235561,  352244900,  9339 , 1614866 
386 , 353072160,  353080876,  8716 , 1672575 
387 , 353878708,  353888082,  9374 , 1613754 
388 , 354714540,  354723931,  9391 , 1671681 
389 , 355521484,  355530895,  9411 , 1613908 
390 , 356357186,  356366612,  9426 , 1671419 
391 , 357163894,  357173339,  9445 , 1613435 
392 , 357999485,  358008948,  9463 , 1671200 
393 , 358805961,  358815442,  9481 , 1612970 
394 , 359641423,  359650922,  9499 , 1670942 
395 , 360447665,  360457182,  9517 , 1612502 
396 , 361283012,  361292544,  9532 , 1670709 
397 , 362089012,  362098564,  9552 , 1612020 
398 , 362924242,  362933812,  9570 , 1670478 
399 , 363729995,  363739582,  9587 , 1611523 
400 , 364565100,  364574705,  9605 , 1670228 
401 , 365370629,  365380252,  9623 , 1611076 
402 , 366205635,  366215277,  9642 , 1670031 
403 , 367010928,  367020586,  9658 , 1610602 
404 , 367845808,  367855485,  9677 , 1669779 
405 , 368650862,  368660556,  9694 , 1610125 
406 , 369485630,  369495344,  9714 , 1669556 
407 , 370290464,  370300195,  9731 , 1609685 
408 , 371125116,  371134867,  9751 , 1669324 
409 , 371929723,  371939490,  9767 , 1609230 
410 , 372764260,  372774046,  9786 , 1669093 
411 , 373568651,  373578455,  9804 , 1608800 
412 , 374403075,  374412898,  9823 , 1668867 
413 , 375207238,  375217079,  9841 , 1608344 
414 , 376041537,  376051396,  9859 , 1668616 
415 , 376845447,  376855323,  9876 , 1607837 
416 , 377679619,  377689513,  9894 , 1668362 
417 , 378483318,  378493229,  9911 , 1607415 
418 , 379317365,  379327295,  9930 , 1668113 
419 , 380120842,  380130790,  9948 , 1606972 
420 , 380954793,  380964760,  9967 , 1667921 
421 , 381758053,  381768038,  9985 , 1606538 
422 , 382591904,  382601907,  10003 , 1667720 
423 , 383394972,  383404992,  10020 , 1606153 
424 , 384228721,  384238761,  10040 , 1667518 
425 , 385031575,  385041632,  10057 , 1605725 
426 , 385865233,  385875309,  10076 , 1667335 
427 , 386667874,  386677969,  10095 , 1605301 
428 , 387501405,  387511518,  10113 , 1667080 
429 , 388303851,  388313983,  10132 , 1604911 
430 , 389137305,  389147456,  10151 , 1666927 
431 , 389939529,  389949698,  10169 , 1604466 
432 , 390772900,  390783087,  10187 , 1666760 
433 , 391574920,  391585126,  10206 , 1604059 
434 , 392408177,  392418400,  10223 , 1666531 
435 , 393210005,  393220245,  10240 , 1603673 
436 , 394043156,  394053415,  10259 , 1666321 
437 , 394844750,  394855028,  10278 , 1603207 
438 , 395677815,  395688111,  10296 , 1666148 
439 , 396479205,  396489520,  10315 , 1602799 
440 , 397312189,  397322522,  10333 , 1665986 
441 , 398113384,  398123735,  10351 , 1602408 
442 , 398946295,  398956664,  10369 , 1665840 
443 , 399747288,  399757675,  10387 , 1602004 
444 , 400580086,  400590491,  10405 , 1665614 
445 , 401380893,  401391317,  10424 , 1601633 
446 , 402213612,  402224053,  10441 , 1665455 
447 , 403014252,  403024715,  10463 , 1601302 
448 , 403846640,  403857120,  10480 , 1664793 
449 , 404647128,  404657626,  10498 , 1600994 
450 , 405479696,  405490212,  10516 , 1665154 
451 , 406279916,  406290452,  10536 , 1600460 
452 , 407112412,  407122966,  10554 , 1665010 
453 , 407912444,  407923015,  10571 , 1600081 
454 , 408744850,  408755441,  10591 , 1664832 
